'AltSaleAgentFirstName',Character
'AltSaleAgentHomePhone',Character
'AltSaleAgentHomePhoneExt',Character
'AltSaleAgentLanguages',Long
'AltSaleAgentLastName',Character
'AltSaleAgentID',Character
'AltSaleAgentKey',Long
'AltSaleAgentPager',Character
'AltSaleAgentPreferredFax',Character
'AltSaleAgentPreferredPhone',Character
'AltSaleAgentPreferredPhoneExt',Character
'AltSaleAgentPrimaryAssociation',Long
'AltSaleAgentTollFreePhone',Character
'AltSaleAgentTollFreePhoneExt',Character
'AltSaleAgentVoiceMailExt',Character
'AltSaleAgentVoiceMailPhone',Character
'AltSaleOfficeFax',Character
'AltSaleOfficeID',Character
'AltSaleOfficeName',Character
'AltSaleOfficePhone',Character
'AltSaleOfficePhoneExt',Character
'ContactOrder1',Long
'ContactOrder2',Long
'ContactOrder3',Long
'ContactOrder4',Long
'ContactOrder5',Long
'ContactOrder6',Long
'ListAgentCellPhone',Character
'ListAgentDirectPhone',Character
'ListAgentDirectPhoneExt',Character
'ListAgentEmail',Character
'ListAgentFax',Character
'ListAgentFirstName',Character
'ListAgentHomePhone',Character
'ListAgentHomePhoneExt',Character
'ListAgentLanguages',Long
'ListAgentLastName',Character
'ListAgentAgentID',Character
'ListAgentKey',Long
'ListAgentPager',Character
'ListAgentPreferredFax',Character
'ListAgentPreferredPhone',Character
'ListAgentPreferredPhoneExt',Character
'ListAgentPrimaryAssociation',Long
'ListAgentTollFreePhone',Character
'ListAgentTollFreePhoneExt',Character
'ListAgentVoiceMailExt',Character
'ListAgentVoiceMailPhone',Character
'ListOfficeFax',Character
'ListOfficeId',Character
'ListOfficeName',Character
'ListOfficePhone',Character
'ListOfficePhoneExt',Character
'OtherPhoneDescription',Character
'OtherPhoneExt',Character
'OtherPhoneNumber',Character
'ReciprocalMemberAreaCode',Small
'ReciprocalMemberName',Character
'ReciprocalMemberOfficeName',Character
'ReciprocalMemberPhone',Character
'ReciprocalMemberPhoneExt',Character
'SaleAgentCellPhone',Character
'SaleAgentDirectPhone',Character
'SaleAgentDirectPhoneExt',Character
'SaleAgentEmail',Character
'SaleAgentFax',Character
'SaleAgentFirstName',Character
'SaleAgentHomePhone',Character
'SaleAgentHomePhoneExt',Character
'SaleAgentLanguages',Long
'SaleAgentLastName',Character
'SaleAgentAgentID',Character
'SaleAgentKey',Long
'SaleAgentPager',Character
'SaleAgentPreferredFax',Character
'SaleAgentPreferredPhone',Character
'SaleAgentPreferredPhoneExt',Character
'SaleAgentPrimaryAssociation',Long
'SaleAgentTollFreePhone',Character
'SaleAgentTollFreePhoneExt',Character
'SaleAgentVoiceMailExt',Character
'SaleAgentVoiceMailPhone',Character
'SaleOfficeFax',Character
'SaleOfficeID',Character
'SaleOfficeName',Character
'SaleOfficePhone',Character
'SaleOfficePhoneExt',Character
'WillConsiderLeaseYN',Boolean
'AltAgentOfficeKey',Long
'AltSaleAgentOfficeKey',Long
'ListAgentOfficeKey',Long
'SaleAgentOfficeKey',Long
'AltAgentLicenseNumber',Character
'AltSaleAgentLicenseNumber',Character
'ListAgentLicenseNumber',Character
'SaleAgentLicenseNumber',Character
'AltBrokerLicenseNumber',Character
'AltSaleBrokerLicenseNumber',Character
'ListBrokerLicenseNumber',Character
'SaleBrokerLicenseNumber',Character
'OwnersName',Character
'AssociationPhoneNumber',Character
'AssociationPhoneNumberExt',Character
