SystemName,StandardName,LongName,DBName,ShortName,MaximumLength,DataType,Precision,Searchable,Interpretation,Alignment,UseSeparator,EditMaskID,LookupName,MaxSelect,Units,Index,Minimum,Maximum,Default,Required,SearchHelpID,Unique,MetadataEntryID,ModTimeStamp,ForeignKeyName,ForeignField,InKeyIndex
ListOfficeId,,ListOfficeId,X88269,ListOfficeId,25,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListOfficeName,,ListOfficeName,X40701045,ListOfficeName,80,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListOfficePhone,,ListOfficePhone,X62865118,ListOfficePhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ListOfficePhoneExt,,ListOfficePhoneExt,X40701470,ListOfficePhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OtherPhoneDescription,,OtherPhoneDescription,X40706487,OtherPhoneDescription,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OtherPhoneExt,,OtherPhoneExt,X40706464,OtherPhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
OtherPhoneNumber,,OtherPhoneNumber,X40706508,OtherPhoneNumber,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ReciprocalMemberAreaCode,,ReciprocalMemberAreaCode,X40703306,ReciprocalMemberAreaCode,3,Small,,1,Number,Right,0,,,,,1,100,999,0,,,0,,,,,
ReciprocalMemberName,,ReciprocalMemberName,X40703229,ReciprocalMemberName,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ReciprocalMemberOfficeName,,ReciprocalMemberOfficeName,X40703242,ReciprocalMemberOfficeName,30,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ReciprocalMemberPhone,,ReciprocalMemberPhone,X62865143,ReciprocalMemberPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
ReciprocalMemberPhoneExt,,ReciprocalMemberPhoneExt,X40703370,ReciprocalMemberPhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentCellPhone,,SaleAgentCellPhone,X62865148,SaleAgentCellPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentDirectPhone,,SaleAgentDirectPhone,X62865149,SaleAgentDirectPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentDirectPhoneExt,,SaleAgentDirectPhoneExt,X40702282,SaleAgentDirectPhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentEmail,,SaleAgentEmail,X40702407,SaleAgentEmail,255,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentFax,,SaleAgentFax,X62865150,SaleAgentFax,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentFirstName,,SaleAgentFirstName,X40702106,SaleAgentFirstName,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentHomePhone,,SaleAgentHomePhone,X62865151,SaleAgentHomePhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentHomePhoneExt,,SaleAgentHomePhoneExt,X40702278,SaleAgentHomePhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentLanguages,,SaleAgentLanguages,X40961945,SaleAgentLanguages,15,Long,0,1,Lookup,Left,0,,LIS_AGT_LANGUAGES,187,,1,,,0,,,0,,,,,
SaleAgentLastName,,SaleAgentLastName,X40702105,SaleAgentLastName,50,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentAgentID,,SaleAgentAgentID,X88359,SaleAgentAgentID,25,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentKey,,SaleAgentKey,X88506,SaleAgentKey,15,Long,0,1,Number,Right,0,,,,,1,,,0,,,0,,,,,
SaleAgentPager,,SaleAgentPager,X62865152,SaleAgentPager,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentPreferredFax,,SaleAgentPreferredFax,X62865154,SaleAgentPreferredFax,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentPreferredPhone,,SaleAgentPreferredPhone,X62865153,SaleAgentPreferredPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentPreferredPhoneExt,,SaleAgentPreferredPhoneExt,X40702288,SaleAgentPreferredPhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentPrimaryAssociation,,SaleAgentPrimaryAssociation,X48746621,SaleAgentPrimaryAssociation,1,Long,0,1,Lookup,Left,0,,LIS_PRIMARY_ASSOCIATIONS,132,,1,,,0,,,0,,,,,
SaleAgentTollFreePhone,,SaleAgentTollFreePhone,X62865155,SaleAgentTollFreePhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentTollFreePhoneExt,,SaleAgentTollFreePhoneExt,X40702286,SaleAgentTollFreePhoneExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentVoiceMailExt,,SaleAgentVoiceMailExt,X40702274,SaleAgentVoiceMailExt,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
SaleAgentVoiceMailPhone,,SaleAgentVoiceMailPhone,X62865156,SaleAgentVoiceMailPhone,15,Character,,1,,Left,0,,,,,1,,,0,,,0,,,,,
